strategy,year,sample_days,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,trade_rate,avg_abs_position
sign_r1,2025,126,0.032223078691590024,0.06280598093267042,0.046697059828690296,1.3277551830951013,-0.02444336713003914,2.569448824236919,0.38095238095238093,1.0,1.0
sign_r1,2026,116,0.06845823518364558,0.14813828989929223,0.06269455531833693,2.2351986685011784,-0.020576131687242816,7.199520889105596,0.41379310344827586,1.0,1.0
sign_r12,2025,126,-0.0014139441867940805,-0.002713902984807559,0.04686807979130137,-0.0347272540278029,-0.023704373620956565,-0.11448954645265343,0.3412698412698413,1.0,1.0
sign_r12,2026,116,0.05820679546133034,0.1252764830756392,0.06286835460807469,1.908894989114138,-0.030431852845187457,4.116623582301878,0.3448275862068966,1.0,1.0
sign_r1_r12,2025,126,0.015557335748567658,0.030093854381414653,0.032850258018588055,0.9189374323327264,-0.016838408661830284,1.787214872010568,0.1746031746031746,0.5,0.5
sign_r1_r12,2026,116,0.063828763511383,0.13778442712078665,0.043926719726375386,2.961111998295011,-0.01592484969397978,8.652164998007772,0.2413793103448276,0.5258620689655172,0.5258620689655172
weight_r1,2025,126,-0.062163924332314324,-0.11597200670991559,0.04460015548052782,-2.7409274891572073,-0.07311255510790216,-1.5862119240499788,0.14285714285714285,0.5238095238095238,0.7792501703722275
weight_r1,2026,116,0.07305535587317014,0.15846813259262138,0.07523077926900412,1.9929877829951352,-0.03092974704937257,5.123486213439175,0.41379310344827586,1.0,0.9501274368434165
weight_r12,2025,126,-0.06182544181918681,-0.11535910294912444,0.04512927921291262,-2.6929167158949125,-0.07277802415961243,-1.5850815446174482,0.14285714285714285,0.5238095238095238,0.7857142857142857
weight_r12,2026,116,-0.09271443054825612,-0.18370854844151652,0.045073875637124595,-4.479048666005352,-0.09337280052275276,-1.9674739047454302,0.1810344827586207,1.0,0.6007913782028428
weight_r1_r12,2025,126,-0.05343006114234039,-0.10009211257098982,0.04330947347544252,-2.4130319997717113,-0.06914355975368247,-1.44759848824039,0.14285714285714285,0.5238095238095238,0.7698412698412699
weight_r1_r12,2026,116,0.022467361150689813,0.04744386271774692,0.059472836795654294,0.8090290463098475,-0.045202311258936145,1.0495893107317082,0.39655172413793105,1.0,0.9173435807799115
enh_r1_ma40_trend_r1_abs,2025,126,0.039669251625690016,0.0775799716178569,0.018451941227108682,4.059068071893656,-0.002020202020202033,38.40208595083892,0.09523809523809523,0.16666666666666666,0.16666666666666666
enh_r1_ma40_trend_r1_abs,2026,116,0.05532407838828757,0.11889083278247603,0.02956087410843772,3.815703039495311,-0.006529192333304734,18.209117868381085,0.13793103448275862,0.27586206896551724,0.27586206896551724
enh_r1_ma30_trend_r1_abs,2025,126,0.039669251625690016,0.0775799716178569,0.018451941227108682,4.059068071893656,-0.002020202020202033,38.40208595083892,0.09523809523809523,0.1746031746031746,0.1746031746031746
enh_r1_ma30_trend_r1_abs,2026,116,0.0552020113175693,0.11862085347124163,0.029522631885618416,3.8124300670451485,-0.006529192333304845,18.167768295960116,0.13793103448275862,0.27586206896551724,0.27586206896551724
enh_r1_ma10_trend_only,2025,126,0.0692776517836251,0.1372925939314562,0.030041497979301054,4.2984354086256475,-0.007312233947169289,18.775738703574287,0.23809523809523808,0.5317460317460317,0.5317460317460317
enh_r1_ma10_trend_only,2026,116,0.04483224617392523,0.09580954902926986,0.03675406757375793,2.5079843278257323,-0.012836943493093278,7.463579556988681,0.1810344827586207,0.45689655172413796,0.45689655172413796
